0,1,Males,Ethnicity
92 in the Shade,"['Peter Fonda', ' Margot Kidder', ' Warren Oates', ' Elizabeth Ashley']",['Peter Fonda'],"['Dutch', 'English', 'Scottish', 'FrenchCanadian', 'Italian', 'German', 'Belgian', 'Flemish', 'Norwegian', 'Cornish']"
Aaron Loves Angela,"['Moses Gunn', ' Irene Cara', ' Kevin Hooks']",['Moses Gunn'],
The Adventure of Sherlock Holmes' Smarter Brother,"['Gene Wilder', ' Marty Feldman', ' Madeline Kahn', ' Leo McKern', ' Dom DeLuise']",['Gene Wilder'],"['Ashkenazi', 'Jewish']"
The Adventures of the Wilderness Family,"['Robert Logan', ' Susan Damante-Shaw', ' George Buck Flower']",['Robert Logan'],
Against a Crooked Sky,"['Richard Boone', ' Henry Wilcoxon', ' Clint Ritchie']",['Richard Boone'],"['Scottish', 'German', 'Welsh', 'Ashkenazi', 'Jewish']"
"Aloha, Bobby and Rose","['Paul Le Mat', ' Tim McIntire', ' Leigh French']",['Paul Le Mat'],
The Apple Dumpling Gang,"['Tim Conway', ' Don Knotts', ' Harry Morgan']",['Tim Conway'],['Romanian']
At Long Last Love,"['Burt Reynolds', ' Cybill Shepherd', ' Madeline Kahn', ' Duilio Del Prete', ' Eileen Brennan', ' John Hillerman']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
Barry Lyndon,"[""Ryan O'Neal"", ' Marisa Berenson', ' Hardy Krüger', ' Patrick Magee']",['Hardy Krüger'],
Best Friends,"['Richard Hatch', ' Susanne Benton']",['Richard Hatch'],
Bite the Bullet,"['Gene Hackman', ' James Coburn', ' Candice Bergen', ' Ben Johnson', ' Jan-Michael Vincent', ' Ian Bannen', ' Dabney Coleman']",['Gene Hackman'],"['English', 'German', 'Scottish', 'Dutch']"
The Black Bird,"['George Segal', ' Stéphane Audran', ' Elisha Cook Jr.']",['George Segal'],"['Ashkenazi', 'Jewish']"
Black Fist,"['Richard Lawson', ' Dabney Coleman', ' Philip Michael Thomas ']",['Richard Lawson'],
Blazing Stewardesses,"['Yvonne De Carlo', ' Regina Carrol', ' Robert Livingston']",['Robert Livingston'],
Boss Nigger,"['Fred Williamson', "" D'Urville Martin""]",['Fred Williamson'],['AfricanAmerican']
A Boy and His Dog,"['Don Johnson', ' Susanne Benton', ' Jason Robards']",['Don Johnson'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch', 'French', 'Huguenot']"
Brannigan,"['John Wayne', ' Richard Attenborough', ' John Vernon', ' Judy Geeson', ' Mel Ferrer']",['John Wayne'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
Breakheart Pass,"['Charles Bronson', ' Ben Johnson', ' Jill Ireland', ' Richard Crenna', ' Charles Durning']",['Charles Bronson'],"['Lithuanian', 'Polish', 'Eastern', 'European']"
Breakout,"['Charles Bronson', ' Robert Duvall', ' Jill Ireland', ' John Huston']",['Charles Bronson'],"['Lithuanian', 'Polish', 'Eastern', 'European']"
"Brother, Can You Spare a Dime?","['W. C. Fields', ' Clark Gable', ' Herbert Hoover']",['Clark Gable'],"['German', 'Irish', 'SwissGerman', 'Belgian']"
Bucktown,"['Fred Williamson', ' Pam Grier', ' Thalmus Rasulala']",['Fred Williamson'],['AfricanAmerican']
Bug,"['Bradford Dillman', ' Joanna Miles', ' Richard Gilliland']",['Bradford Dillman'],"['English', 'German']"
Bugs Bunny: Superstar,['Orson Welles'],['Orson Welles'],"['English', 'Scottish', 'Welsh']"
The Candy Tangerine Man,"['John Daniels', ' George Buck Flower', ' Eli Haines']",['John Daniels'],
Capone,"['Ben Gazzara', ' Susan Blakely', ' John Cassavetes', ' Sylvester Stallone']",['Ben Gazzara'],"['Italian', 'Sicilian']"
Cleopatra Jones and the Casino of Gold,"['Tamara Dobson', ' Stella Stevens', ' Norman Fell']",['Norman Fell'],
Conduct Unbecoming,"['Stacy Keach', ' Richard Attenborough', ' Christopher Plummer', ' Michael York', ' Susannah York']",['Richard Attenborough'],['English']
Cooley High,"['Lawrence Hilton-Jacobs', ' Glynn Turman', ' Garrett Morris']",['Lawrence Hilton-Jacobs'],
Coonskin,"['Voices of Philip Michael Thomas', ' Barry White', ' Scatman Crothers', ' Charles Gordone']",['Barry White'],['AfricanAmerican']
"Cornbread, Earl and Me","['Laurence Fishburne', ' Jamaal Wilkes', ' Moses Gunn']",['Laurence Fishburne'],['AfricanAmerican']
Cover Girl Models,"['Pat Anderson', ' Lindsay Bloom', ' Tara Strohmeier']",[],
Crazy Mama,"['Cloris Leachman', ' Stuart Whitman', ' Ann Sothern', ' Donny Most', ' Linda Purl']",['Stuart Whitman'],"['Ashkenazi', 'Jewish']"
Darktown Strutters,"['Trina Parks', ' Shirley Washington', ' Roger E. Mosley']",['Roger E. Mosley'],
The Day of the Locust,"['Donald Sutherland', ' Karen Black', ' William Atherton', ' Geraldine Page', ' Burgess Meredith']",['Donald Sutherland'],"['Scottish', 'English', 'German']"
Deadly Hero,"['Don Murray', ' Diahn Williams', ' James Earl Jones']",['Don Murray'],
Death Race 2000,"['David Carradine', ' Sylvester Stallone', ' Simone Griffeth']",['David Carradine'],"['English', 'German', 'Scottish', 'Irish', 'Welsh', 'Dutch']"
The Devil's Rain,"['Ernest Borgnine', ' Ida Lupino', ' William Shatner']",['Ernest Borgnine'],['Italian']
Diamonds,"['Robert Shaw', ' Richard Roundtree', ' Shelley Winters', ' Barbara Hershey']",['Robert Shaw'],
Doc Savage: The Man of Bronze,"['Ron Ely', ' Paul Gleason', ' William Lucking']",['Ron Ely'],
Dog Day Afternoon,"['Al Pacino', ' John Cazale', ' Charles Durning', ' Chris Sarandon', ' James Broderick']",['Al Pacino'],"['Italian', 'Sicilian', 'Neapolitan']"
Dolemite,"['Rudy Ray Moore', "" D'Urville Martin"", ' Hy Pyke']",['Rudy Ray Moore'],
The Drowning Pool,"['Paul Newman', ' Joanne Woodward', ' Anthony Franciosa', ' Melanie Griffith']",['Paul Newman'],"['Jewish', 'Slovak']"
Dr. Minx,"['Edy Williams', ' Randy Boone', ' Marlene Schmidt']",['Randy Boone'],
The Eiger Sanction,"['Clint Eastwood', ' George Kennedy', ' Jack Cassidy', ' Vonetta McGee', ' Gregory Walcott']",['Clint Eastwood'],"['English', 'Scottish', 'Irish', 'German', 'Dutch', 'Welsh']"
Escape to Witch Mountain,"['Ray Milland', ' Donald Pleasence', ' Eddie Albert']",['Ray Milland'],['Welsh']
"Farewell, My Lovely","['Robert Mitchum', ' Charlotte Rampling', ' John Ireland', ' Sylvia Miles', ' Harry Dean Stanton']",['Robert Mitchum'],"['Welsh', 'Norwegian']"
Flash and the Firecat,"['Roger Davis', ' Joan Shawlee ', ' Richard Kiel']",['Roger Davis'],
Fore Play,"['Zero Mostel', ' Estelle Parsons']",['Zero Mostel'],"['Ashkenazi', 'Jewish']"
The Fortune,"['Warren Beatty', ' Jack Nicholson', ' Stockard Channing']",['Warren Beatty'],"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
The Four Deuces,"['Jack Palance', ' Carol Lynley', ' Warren Berlinger']",['Jack Palance'],"['Ukrainian', 'Polish']"
Framed,"['Joe Don Baker', ' Conny Van Dyke', ' John Marley']",['Joe Don Baker'],
French Connection II,"['Gene Hackman', ' Fernando Rey', ' Ed Lauter']",['Gene Hackman'],"['English', 'German', 'Scottish', 'Dutch']"
Friday Foster,"['Pam Grier', ' Yaphet Kotto', ' Eartha Kitt']",['Yaphet Kotto'],"['Jewish', 'Cameroonian', 'African', 'Panamanian', 'AfricanPanamanian']"
Funny Lady,"['Barbra Streisand', ' James Caan', ' Roddy McDowall']",['James Caan'],"['Ashkenazi', 'Jewish']"
Gemini Affair,"['Marta Kristen ', ' Anne Seymour', ' Victoria Carroll']",[],
The Giant Spider Invasion,"['Steve Brodie', ' Alan Hale Jr.', ' Leslie Parrish']",['Steve Brodie'],
"Give 'em Hell, Harry!",['James Whitmore'],['James Whitmore'],
Gone with the West,"['James Caan', ' Stefanie Powers']",['James Caan'],"['Ashkenazi', 'Jewish']"
The Great Waldo Pepper,"['Robert Redford', ' Susan Sarandon', ' Margot Kidder']",['Robert Redford'],"['English', 'Irish', 'Scottish', 'Northern', 'IrishScotsIrish', 'Cornish']"
Grey Gardens,"['Edith Bouvier Beale', ' Edith Ewing Bouvier']",[],
The Happy Hooker,"['Lynn Redgrave', ' Jean-Pierre Aumont', ' Conrad Janis']",['Jean-Pierre Aumont'],"['Ashkenazi', 'Jewish', 'Sephardi', 'Jewish']"
Hard Times,"['Charles Bronson', ' James Coburn', ' Jill Ireland']",['Charles Bronson'],"['Lithuanian', 'Polish', 'Eastern', 'European']"
Hearts of the West,"['Jeff Bridges', ' Andy Griffith', ' Donald Pleasence']",['Jeff Bridges'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
Hester Street,"['Carol Kane', ' Steven Keats', ' Doris Roberts']",['Steven Keats'],
The Hiding Place,"['Julie Harris', ' Eileen Heckart', "" Arthur O'Connell""]",[],
The Hindenburg,"['George C. Scott', ' Anne Bancroft', ' Roy Thinnes', ' Charles Durning', ' Gig Young']",['George C. Scott'],"['English', 'German', 'Irish', 'Scottish']"
Hustle,"['Burt Reynolds', ' Catherine Deneuve', ' Ben Johnson']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
Inserts,"['Richard Dreyfuss', ' Veronica Cartwright', ' Jessica Harper', ' Bob Hoskins']",['Richard Dreyfuss'],"['Ashkenazi', 'Jewish']"
The Intruder,"['Chris Robinson', ' Mickey Rooney', ' Yvonne De Carlo']",[],
I Wonder Who's Killing Her Now?,"['Bill Dana', ' Joanna Barnes Bob Dishy']",['Bill Dana'],
Jaws,"['Roy Scheider', ' Robert Shaw', ' Richard Dreyfuss']",['Roy Scheider'],"['German', 'Irish']"
Johnny Firecloud,"['Victor Mohica', ' Ralph Meeker', ' Christina Hart ']",['Victor Mohica'],
The Killer Elite,"['James Caan', ' Robert Duvall', ' Burt Young', ' Mako']",['James Caan'],"['Ashkenazi', 'Jewish']"
Lady Cocoa,"['Lola Falana', ' Millie Perkins', ' Alex Dreier']",['Alex Dreier'],
The Land That Time Forgot,"['Doug McClure', ' John McEnery', ' Susan Penhaligon']",['Doug McClure'],
Las Vegas Lady,"['Stella Stevens', ' Stuart Whitman', ' George DiCenzo']",['Stuart Whitman'],"['Ashkenazi', 'Jewish']"
Lepke,"['Tony Curtis', ' Anjanette Comer', ' Michael Callan']",['Tony Curtis'],"['Ashkenazi', 'Jewish']"
Let's Do It Again,"['Sidney Poitier', ' Bill Cosby', ' Ossie Davis']",['Bill Cosby'],['AfricanAmerican']
Love and Death,"['Woody Allen', ' Diane Keaton', ' Olga Georges-Picot']",['Woody Allen'],"['Ashkenazi', 'Jewish']"
Lucky Lady,"['Liza Minnelli', ' Burt Reynolds', ' Gene Hackman']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
Mackintosh and T.J.,"['Roy Rogers', ' Joan Hackett', ' Andrew Robinson']",['Roy Rogers'],
Mahogany,"['Diana Ross', ' Billy Dee Williams', ' Anthony Perkins']",['Billy Dee Williams'],['AfricanMontserratian']
Man Friday,"[""Peter O'Toole"", ' Richard Roundtree', ' Peter Cellier']",['Richard Roundtree'],['AfricanAmerican']
The Man in the Glass Booth,"['Maximilian Schell', ' Lois Nettleton', ' Lawrence Pressman']",['Maximilian Schell'],"['SwissGerman', 'Austrian']"
The Man Who Would Be King,"['Sean Connery', ' Michael Caine', ' Christopher Plummer']",['Sean Connery'],"['Scottish', 'Irish']"
The Manchu Eagle Murder Caper Mystery,"['Gabriel Dell', ' Huntz Hall', ' Jackie Coogan']",['Gabriel Dell'],
Mandingo,"['James Mason', ' Susan George', ' Ken Norton']",['James Mason'],['English']
The Master Gunfighter,"['Tom Laughlin', "" Ron O'Neal"", ' Barbara Carrera']",['Tom Laughlin'],"['Irish', 'Scottish', 'English', 'German']"
Mitchell,"['Joe Don Baker', ' Martin Balsam', ' Linda Evans']",['Joe Don Baker'],
Moonrunners,"['James Mitchum', ' Waylon Jennings', ' Joan Blackman']",['James Mitchum'],
Mr. Ricco,"['Dean Martin', ' Eugene Roche ', ' Denise Nicholas ']",['Dean Martin'],"['Italian', 'Sicilian']"
Mr. Sycamore,"['Jason Robards', ' Sandy Dennis', ' Jean Simmons']",['Jason Robards'],"['Swedish', 'English', 'Welsh', 'German', 'Irish', 'Scottish']"
Murph the Surf,"['Robert Conrad', ' Don Stroud', ' Donna Mills']",['Robert Conrad'],"['German', 'Irish']"
Naked Came the Stranger,"['Alan Marlow', ' Darby Lloyd Rains', ' David Savage']",['Alan Marlow'],
Nashville,"['Keith Carradine', ' Karen Black', ' Ned Beatty', ' Ronee Blakley', ' Lily Tomlin', ' Barbara Harris', ' Gwen Welles']",['Keith Carradine'],
Night Moves,"['Gene Hackman', ' Susan Clark', ' Melanie Griffith', ' James Woods', ' Jennifer Warren', ' Harris Yulin']",['Gene Hackman'],"['English', 'German', 'Scottish', 'Dutch']"
Once Is Not Enough,"['Kirk Douglas', ' Alexis Smith', ' David Janssen', ' Deborah Raffin', ' Brenda Vaccaro', '  George Hamilton']",['Kirk Douglas'],"['Ashkenazi', 'Jewish']"
One Flew Over the Cuckoo's Nest,"['Jack Nicholson', ' Louise Fletcher', ' Brad Dourif', ' Danny DeVito', ' William Redfield', ' Will Sampson']",['Jack Nicholson'],"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
One of Our Dinosaurs Is Missing,"['Peter Ustinov', ' Helen Hayes', ' Derek Nimmo']",['Peter Ustinov'],"['Russian125', 'Ashkenazi', 'Jewish125', 'German125', 'Italian625', 'Ethiopian', 'SubSaharan', 'African', 'Portuguese625', 'French']"
Operation Daybreak,"['Timothy Bottoms', ' Martin Shaw', ' Joss Ackland']",['Timothy Bottoms'],
The Other Side of the Mountain,"['Marilyn Hassett', ' Beau Bridges', ' Belinda Montgomery']",['Beau Bridges'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
Peeper,"['Michael Caine', ' Natalie Wood', ' Kitty Winn']",['Michael Caine'],"['English', 'Irish']"
Permission to Kill,"['Dirk Bogarde', ' Ava Gardner', ' Timothy Dalton ']",['Dirk Bogarde'],
Poor Pretty Eddie,"['Leslie Uggams', ' Shelley Winters', ' Michael Christian']",['Michael Christian'],
Posse,"['Kirk Douglas', ' Bruce Dern', ' Bo Hopkins']",['Kirk Douglas'],"['Ashkenazi', 'Jewish']"
The Prisoner of Second Avenue,"['Jack Lemmon', ' Anne Bancroft', ' Gene Saks']",['Jack Lemmon'],"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
Psychic Killer,"['Jim Hutton', ' Julie Adams', ' Paul Burke']",['Jim Hutton'],
Race with the Devil,"['Peter Fonda', ' Warren Oates', ' Loretta Swit']",['Peter Fonda'],"['Dutch', 'English', 'Scottish', 'FrenchCanadian', 'Italian', 'German', 'Belgian', 'Flemish', 'Norwegian', 'Cornish']"
Rafferty and the Gold Dust Twins,"['Sally Kellerman', ' Alan Arkin', ' Mackenzie Phillips']",['Alan Arkin'],"['Ashkenazi', 'Jewish']"
Rancho Deluxe,"['Jeff Bridges', ' Sam Waterston', ' Elizabeth Ashley', ' Harry Dean Stanton', '']",['Jeff Bridges'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
The Reincarnation of Peter Proud,"['Michael Sarrazin', ' Margot Kidder', "" Jennifer O'Neill""]",['Michael Sarrazin'],
Return to Macon County,"['Nick Nolte', ' Don Johnson', ' Robin Mattson']",['Nick Nolte'],"['German', 'English', 'Scottish', 'Northern', 'Irish', 'ScotsIrish', 'SwissGerman']"
Return of the Pink Panther,"['Peter Sellers', ' Catherine Schell', ' Herbert Lom', ' Christopher Plummer']",['Peter Sellers'],"['Sephardi', 'Jewish', 'Ashkenazi', 'Jewish']"
The Rocky Horror Picture Show,"['Tim Curry', ' Susan Sarandon', ' Barry Bostwick']",['Tim Curry'],"['English', 'Irish', 'Scottish']"
