Abe Lincoln in Illinois,"['Raymond Massey', ' Gene Lockhart', ' Ruth Gordon']","['Drama', ' Biography']"
Adventure in Diamonds,"['George Brent', ' Isa Miranda', ' John Loder']",['Drama']
Adventures of Red Ryder,"['Don ""Red"" Barry', ' Noah Beery', ' Tommy Cook']",['Western']
Alias the Deacon,"['Bob Burns', ' Mischa Auer', ' Peggy Moran']",['Comedy']
"All This, and Heaven Too","['Bette Davis', ' Charles Boyer', ' Jeffrey Lynn']",['Drama']
Always a Bride,"['Rosemary Lane', ' George Reeves', ' John Eldredge']",['Comedy']
Am I Guilty?,"['Ralph Cooper', ' Sam McDaniel']",['Crime drama']
Americaner Shadchen,"['Leo Fuchs', ' Judith Abarbanel', ' Judel Dubinsky']",['Romantic comedy']
And One Was Beautiful,"['Robert Cummings', ' Laraine Day', ' Jean Muir']",['Romantic drama']
Andy Hardy Meets Debutante,"['Lewis Stone', ' Mickey Rooney', ' Cecilia Parker']",['Comedy']
An Angel from Texas,"['Eddie Albert', ' Rosemary Lane', ' Wayne Morris', ' Jane Wyman', ' Ronald Reagan']",['Romantic comedy']
Angels Over Broadway,"['Douglas Fairbanks Jr.', ' Rita Hayworth', ' Thomas Mitchell']",['Drama']
Anne of Windy Poplars,"['Anne Shirley', ' James Ellison', ' Henry Travers']",['Drama']
The Ape,"['Boris Karloff', ' Maris Wrixon']",['Horror']
Argentine Nights,"['Ritz Brothers', ' The Andrews Sisters', ' Constance Moore', ' George Reeves']",['Musical comedy']
"Arise, My Love","['Claudette Colbert', ' Ray Milland', "" Dennis O'Keefe""]",['Romantic comedy']
Arizona,"['Jean Arthur', ' William Holden', ' Warren William']",['Western']
Arizona Frontier,['Tex Ritter'],['Western']
Arizona Gang Busters,"['Tim McCoy', ' Pauline Haddon']",['Western']
Babies for Sale,"['Rochelle Hudson', ' Glenn Ford', ' Miles Mander']",['Drama']
Bad Man from Red Butte,"['Johnny Mack Brown', ' Bob Baker', ' Fuzzy Knight']",['Western']
