Above Suspicion,"['Joan Crawford', ' Fred MacMurray', ' Conrad Veidt']",['Spy film']
Action in the North Atlantic,"['Humphrey Bogart', ' Raymond Massey', ' Alan Hale Sr.']",['War']
Adventure in Iraq,"['Ruth Ford', ' John Loder']",['Adventure']
The Adventures of a Rookie,"['Wally Brown', ' Alan Carney']",['Comedy']
Aerial Gunner,"['Chester Morris', ' Richard Arlen']",['War']
After Midnight with Boston Blackie,"['Chester Morris', ' Ann Savage']",['Mystery']
Air Force,"['John Garfield', ' John Ridgely', ' Gig Young']",['Drama']
Air Raid Wardens,"['Laurel and Hardy', ' Edgar Kennedy', ' Jacqueline White']",['Comedy']
Alaska Highway,"['Jean Parker', ' Richard Arlen']",['Drama']
All by Myself,"['Rosemary Lane', ' Evelyn Ankers', ' Patric Knowles']",['Comedy']
Always a Bridesmaid,"['The Andrews Sisters', ' Patric Knowles', ' Grace McDonald']",['Musical comedy']
The Amazing Mrs. Holliday,"['Deanna Durbin', "" Edmond O'Brien"", ' Barry Fitzgerald']",['Comedy']
The Ape Man,"['Bela Lugosi', ' Louise Currie', ' Wallace Ford', ' Henry Hall']",['Science fiction']
Appointment in Berlin,"['George Sanders', ' Marguerite Chapman']",['War drama']
Arizona Trail,"['Tex Ritter', ' Fuzzy Knight']",['Western']
Around the World,"['Kay Kyser', ' Mischa Auer', ' Joan Davis']",['Musical comedy']
Assignment in Brittany,"['Jean-Pierre Aumont', ' Susan Peters', ' Signe Hasso']",['War']
The Avenging Rider,"['Tim Holt', ' Cliff Edwards']",['Western']
Background to Danger,"['George Raft', ' Brenda Marshall', ' Sydney Greenstreet', ' Peter Lorre']",['Mystery']
Bad Men of Thunder Gap,"[""Dave O'Brien"", ' Guy Wilkerson']",['Western']
Bar 20,"['William Boyd', ' Andy Clyde', ' George Reeves', ' Robert Mitchum']",['Western']
Bataan,"['Robert Taylor', ' George Murphy', ' Lloyd Nolan']",['War']
Behind the Rising Sun,"['Margo Albert', ' Tom Neal']",['War']
Best Foot Forward,"['Lucille Ball', ' June Allyson', ' Gloria DeHaven', ' Nancy Walker']",['Musical Comedy']
Beyond the Last Frontier,"['Eddie Dew', ' Smiley Burnette', ' Robert Mitchum']",['Western']
The Black Hills Express,"['Don ""Red"" Barry', ' Wally Vernon']",['Western']
Black Market Rustlers,"['Ray Corrigan', ' Max Terhune', ' Evelyn Finley']",['Western']
The Black Raven,"['Wanda McKay', ' George Zucco']",['Suspense']
Blazing Frontier,"['Buster Crabbe', ' Al St. John']",['Western']
Blazing Guns,"['Ken Maynard', ' Hoot Gibson']",['Western']
The Blocked Trail,"['Bob Steele', ' Tom Tyler']",['Western']
Bombardier,"[""Pat O'Brien"", ' Randolph Scott', ' Anne Shirley', ' Eddie Albert']",['War']
Bomber's Moon,"['George Montgomery', ' Annabella']",['War']
Border Buckaroos,"[""Dave O'Brien"", ' Christine McIntyre']",['Western']
Border Patrol,"['William Boyd', ' Andy Clyde', ' George Reeves', ' Robert Mitchum']",['Western']
Bordertown Gun Fighters,"['Wild Bill Elliott', ' Anne Jeffreys']",['Western']
Boss of Rawhide,"[""Dave O'Brien"", "" Nell O'Day""]",['Western']
The Boy from Stalingrad,"['Scotty Beckett', ' John Wengraf']",['War']
Buckskin Frontier,"['Richard Dix', ' Jane Wyatt', ' Lee J. Cobb']",['Western']
Bullets and Saddles,"['Ray ""Crash"" Corrigan', ' Julie Duncan']",['Western']
