48 Hrs.,"['Nick Nolte', ' Eddie Murphy', "" Annette O'Toole"", ' James Remar', ' David Patrick Kelly']",['Crime comedy']
Airplane II: The Sequel,"['Robert Hays', ' Julie Hagerty', ' Lloyd Bridges', ' Chad Everett', ' William Shatner', ' Rip Torn', '  Sonny Bono']",['Comedy']
Alone in the Dark,"['Jack Palance', ' Donald Pleasence']",['Slasher']
Amityville II: The Possession,"['James Olson', ' Burt Young', ' Rutanya Alda']",['Horror']
Android,"['Klaus Kinski', ' Brie Howard']",['Sci-fi']
Annie,"['Aileen Quinn', ' Albert Finney', ' Carol Burnett', ' Tim Curry', ' Bernadette Peters', ' Ann Reinking', ' Geoffrey Holder', ' Edward Herrmann']",['Musical']
The Atomic Cafe,['Dwight D. Eisenhower'],['Documentary']
Author! Author!,"['Al Pacino', ' Dyan Cannon', ' Tuesday Weld']",['Comedy']
Barbarosa,"['Willie Nelson', ' Gary Busey', ' Isela Vega']",['Western']
Basket Case,['Kevin Van Hentenryck'],['Horror']
The Beach Girls,"['Jeana Tomasino', ' Debra Blee']",['Comedy']
The Beast Within,"['Ronny Cox', ' Bibi Besch', ' L.Q. Jones']",['Horror']
The Beastmaster,"['Marc Singer', ' Tanya Roberts']",['Fantasy']
Best Friends,"['Burt Reynolds', ' Goldie Hawn', ' Jessica Tandy', ' Barnard Hughes', ' Ron Silver']",['Romantic comedy']
The Best Little Whorehouse in Texas,"['Dolly Parton', ' Burt Reynolds', ' Charles Durning', ' Dom DeLuise', ' Jim Nabors']",['Musical']
Blade Runner,"['Harrison Ford', ' Rutger Hauer', ' Sean Young', '  Daryl Hannah', ' William Sanderson', ' Joanna Cassidy', ' Brion James', ' Joe Turkel']",['Science-fiction']
The Border,"['Jack Nicholson', ' Valerie Perrine', ' Harvey Keitel', ' Warren Oates']",['Drama']
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,"['Mel Blanc', ' June Foray']",['Animation']
Burden of Dreams,"['Werner Herzog', ' Claudia Cardinale', ' Mick Jagger']",['Documentary']
Butterfly,"['Pia Zadora', ' Ed McMahon', ' Orson Welles', ' Lois Nettleton', ' June Lockhart']",['Drama']
Cannery Row,"['Nick Nolte', ' Debra Winger']",['Drama']
Cat People,"['Nastassja Kinski', ' Malcolm McDowell', "" Annette O'Toole"", ' John Heard']",['Horror']
Chan Is Missing,"['Wood Moy', ' Marc Hayashi']",['Drama']
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean","['Cher', ' Sandy Dennis', ' Karen Black']",['Drama']
Comeback,"['Animals', ' Eric Burdon']",['Drama']
