 13 Moons,"['Jennifer Beals', ' Elizabeth Bracco', ' Steve Buscemi']","['Comedy', ' Drama']"
25th Hour,"['Edward Norton', ' Philip Seymour Hoffman', ' Barry Pepper', ' Rosario Dawson', ' Anna Paquin', ' Brian Cox']",['Drama']
40 Days and 40 Nights,"['Josh Hartnett', ' Shannyn Sossamon', ' Paulo Costanzo']",['Comedy']
8 Mile,"['Eminem', ' Kim Basinger', ' Brittany Murphy', ' Mekhi Phifer', ' Eugene Byrd', ' Omar Benson Miller']","['Drama', ' Musical']"
 Abandon,"['Katie Holmes', ' Benjamin Bratt', ' Zooey Deschanel']","['Drama', ' thriller']"
About a Boy,"['Hugh Grant', ' Nicholas Hoult', ' Toni Collette']","['Comedy', ' Drama']"
About Schmidt,"['Jack Nicholson', ' Kathy Bates', ' Hope Davis', ' Len Cariou', ' Dermot Mulroney', ' June Squibb']","['Comedy', ' Drama']"
Adaptation.,"['Nicolas Cage', ' Meryl Streep', ' Chris Cooper']","['Comedy', ' Drama']"
The Adventures of Pluto Nash,"['Eddie Murphy', ' Randy Quaid', ' Rosario Dawson', ' Joe Pantoliano', ' Peter Boyle', ' Pam Grier', ' James Rebhorn', ' Jay Mohr', ' Burt Young', ' John Cleese']","['Comedy', ' Science fiction']"
All About the Benjamins,"['Ice Cube', ' Mike Epps', ' Eva Mendes']","['Action', ' Comedy']"
Analyze That,"['Robert De Niro', ' Billy Crystal', ' Lisa Kudrow']",['Comedy']
Antwone Fisher,"['Derek Luke', ' Joy Bryant', ' Denzel Washington', ' Malcolm David Kelley']","['Biography', ' Drama']"
Austin Powers in Goldmember,"['Mike Myers', ' Beyoncé Knowles', ' Michael Caine']",['Comedy']
Auto Focus,"['Greg Kinnear', ' Willem Dafoe', ' Maria Bello', ' Rita Wilson']","['Biography', ' Drama']"
Avenging Angelo,"['Sylvester Stallone', ' Madeleine Stowe', ' Anthony Quinn']","['Comedy', ' Crime']"
Back by Midnight,"['Rodney Dangerfield', ' Phil LaMarr', ' Randy Quaid']",['Comedy']
 Bad Company,"['Anthony Hopkins', ' Chris Rock']","['Action', ' Comedy']"
Ballistic: Ecks vs. Sever,"['Antonio Banderas', ' Lucy Liu', ' Gregg Henry', ' Ray Park', ' Talisa Soto']",['Action']
The Banger Sisters,"['Goldie Hawn', ' Susan Sarandon', ' Geoffrey Rush']",['Comedy']
Barbershop,"['Ice Cube', ' Cedric the Entertainer']",['Comedy']
Below,"['Bruce Greenwood', ' Olivia Williams', ' Matthew Davis']","['War', ' Horror']"
Better Luck Tomorrow,"['Parry Shen', ' Jason Tobin', ' Sung Kang']",['Crime drama']
Big Fat Liar,"['Frankie Muniz', ' Paul Giamatti', ' Amanda Bynes']","['Comedy', ' Family']"
Big Trouble,"['Tim Allen', ' Rene Russo', ' Stanley Tucci', ' Dennis Farina', ' Jason Lee', ' Tom Sizemore', ' Omar Epps', ' Zooey Deschanel', ' Ben Foster', ' Sofía Vergara']","['Comedy', ' Crime']"
Biggie & Tupac,['deaths of Biggie Smalls and Tupac Shakur'],['Documentary']
Birthday Girl,"['Nicole Kidman', ' Ben Chaplin', ' Vincent Cassel']",['Crime']
Blade II,"['Wesley Snipes', ' Kris Kristofferson', ' Ron Perlman']","['Action', ' horror']"
Blood Work,"['Clint Eastwood', ' Jeff Daniels', ' Anjelica Huston', ' Wanda De Jesus']",['Crime drama']
Blue Crush,"['Kate Bosworth', ' Michelle Rodriguez', ' Matthew Davis']",['Romance']
Book of Love,"['Eric K. George', ' Treach', ' Richard T. Jones']",['Romance']
The Bourne Identity,"['Matt Damon', ' Franka Potente', ' Chris Cooper', ' Clive Owen', ' Brian Cox', ' Julia Stiles']","['Action', ' Thriller']"
Bowling for Columbine,['the Columbine High School massacre'],['Documentary']
Brown Sugar,"['Taye Diggs', ' Sanaa Lathan', ' Mos Def']",['Romance']
Bubba Ho-tep,"['Bruce Campbell', ' Ossie Davis', ' Ella Joyce']","['Comedy', ' Horror']"
The Burial Society,"['Rob LaBelle', ' Jan Rubeš', ' Allan Rich']",['Thriller']
Buying the Cow,"[""Jerry O'Connell"", ' Bridgette Wilson', ' Alyssa Milano']",['Comedy']
 Cabin Fever,"['Rider Strong', ' Jordan Ladd', ' James DeBello']",['Horror']
Carrie,"['Angela Bettis', ' Patricia Clarkson', ' Rena Sofer']",['Horror']
Catch Me If You Can,"['Leonardo DiCaprio', ' Tom Hanks', ' Christopher Walken', ' Amy Adams', ' Martin Sheen', ' Nathalie Baye', ' James Brolin']","['Comedy', ' Drama']"
Chance,"['Amber Benson', ' James Marsters', ' Christine Estabrook', ' Andy Hallett']",['Comedy']
Changing Lanes,"['Ben Affleck', ' Samuel L. Jackson', ' Toni Collette']",['Thriller']
Chat Room,"['Brian Hooks', ' Christopher Richards']",['Comedy']
Chelsea Walls,"['Kris Kristofferson', ' Uma Thurman']",['Drama']
Chicago,"['Renée Zellweger', ' Catherine Zeta-Jones', ' Richard Gere', ' Queen Latifah', ' John C. Reilly', ' Taye Diggs']",['Musical']
"Ciao America
","['Eddie Malavarca', ' Maurizio Nichetti', ' Violante Placido', ' Giancarlo Giannini', ' Paul Sorvino']",['Comedy']
City by the Sea,"['Robert De Niro', ' James Franco', ' Eliza Dushku', ' Frances McDormand']",['Crime drama']
City of Ghosts,"['Matt Dillon', ' James Caan', ' Natascha McElhone']",['Drama']
Civil Brand,"['LisaRaye McCoy', ' Lark Voorhies', ' Mos Def']",['Action']
Clockstoppers,"['Jesse Bradford', ' Paula Garcés', ' French Stewart', ' Michael Biehn', ' Robin Thomas']",['Science fiction']
The Cockettes,['the career of The Cockettes'],['Documentary']
Collateral Damage,"['Arnold Schwarzenegger', ' Elias Koteas', ' Francesca Neri', ' Cliff Curtis', ' John Leguizamo', ' John Turturro']",['Action']
The Crocodile Hunter: Collision Course,"['Steve Irwin', ' Terri Irwin', ' Neil Fanning']",['Adventure']
Comedian,['the stand-up comedy of Jerry Seinfeld'],['Documentary']
Confessions of a Dangerous Mind,"['Sam Rockwell', ' Drew Barrymore', ' George Clooney', ' Julia Roberts']",['Biography']
The Count of Monte Cristo,"['James Caviezel', ' Guy Pearce', ' Dagmara Domińczyk', ' Richard Harris']",['Adventure']
The Country Bears,"['Don Henley', ' Haley Joel Osment', ' Diedrich Bader', ' Christopher Walken']",['Family']
Crazy as Hell,"['Eriq La Salle', ' Michael Beach', ' Ronny Cox', ' Tia Texada']",['Horror']
Crossroads,"['Britney Spears', ' Anson Mount', ' Zoe Saldana', ' Taryn Manning', ' Kim Cattrall', ' Dan Aykroyd']","['Comedy', ' Drama']"
Cypher,"['Jeremy Northam', ' Lucy Liu', ' Nigel Bennett']",['Science-fiction']
 The Dancer Upstairs,"['Javier Bardem', ' Juan Diego Botto', ' Laura Morante']",['Crime drama']
The Dangerous Lives of Altar Boys,"['Emile Hirsch', ' Kieran Culkin', ' Jena Malone']","['Comedy', ' Drama']"
Darkness,"['Anna Paquin', ' Lena Olin', ' Iain Glen']",['Horror']
Daughter from Da Nang,['the life of a child from Operation Babylift'],['Documentary']
Death to Smoochy,"['Robin Williams', ' Edward Norton', ' Danny DeVito', ' Catherine Keener', ' Jon Stewart']",['Comedy']
Demon Island,"['Nicholas Brendon', ' Jaime Pressly', ' Eugene Byrd']",['Horror']
Deuces Wild,"['Stephen Dorff', ' Brad Renfro', ' Fairuza Balk']",['Action']
Die Another Day,"['Pierce Brosnan', ' Halle Berry', ' Toby Stephens']",['Action']
Divine Secrets of the Ya-Ya Sisterhood,"['Ellen Burstyn', ' Sandra Bullock', ' James Garner', ' Ashley Judd', ' Maggie Smith']",['Comedy']
Dragonfly,"['Kevin Costner', ' Joe Morton', ' Ron Rifkin', ' Linda Hunt', ' Kathy Bates']",['Drama']
Drumline,"['Nick Cannon', ' Zoe Saldana', ' Orlando Jones']","['Drama', ' Musical']"
Easy Listening,"['David Ian', ' Traci Crouch', ' Timothy Crow']",['Comedy']
Eight Crazy Nights,"['Adam Sandler', ' Allen Covert', ' Jack Giarraputo']",['Animation']
Eight Legged Freaks,"['David Arquette', ' Kari Wührer', ' Scarlett Johansson']","['Comedy', ' Horror']"
The Emperor's Club,"['Kevin Kline', ' Emile Hirsch', ' Embeth Davidtz', ' Rob Morrow', ' Harris Yulin', ' Jesse Eisenberg']",['Drama']
Empire,"['John Leguizamo', ' Peter Sarsgaard', ' Denise Richards', ' Delilah Cotto']",['Crime drama']
Enough,"['Jennifer Lopez', ' Billy Campbell', ' Juliette Lewis', ' Noah Wyle']",['Thriller']
Equilibrium,"['Christian Bale', ' Taye Diggs', ' Emily Watson', ' Angus Macfadyen', ' Sean Bean', ' William Fichtner']",['Science fiction']
Evelyn,"['Sophie Vavasseur', ' Pierce Brosnan', ' Aidan Quinn']",['Drama']
 Far from Heaven,"['Julianne Moore', ' Dennis Quaid', ' Dennis Haysbert']",['Drama']
FeardotCom,"['Stephen Dorff', ' Natascha McElhone', ' Stephen Rea']","['Crime', ' Horror']"
The First $20 Million Is Always the Hardest,"['Adam Garcia', ' Rosario Dawson', ' Jake Busey']",['Comedy']
Frida,"['Salma Hayek', ' Alfred Molina', ' Geoffrey Rush']","['Biography', ' Drama']"
Friday After Next,"['Ice Cube', ' Mike Epps', ' John Witherspoon']",['Comedy']
The Four Feathers,"['Heath Ledger', ' Wes Bentley', ' Kate Hudson']","['Drama', ' War']"
Full Frontal,"['David Duchovny', ' Nicky Katt', ' Catherine Keener', ' Julia Roberts', ' Blair Underwood']",['Comedy']
 Gangs of New York,"['Leonardo DiCaprio', ' Daniel Day-Lewis', ' Cameron Diaz', ' Liam Neeson', ' Henry Thomas', ' Jim Broadbent', ' Brendan Gleeson']",['Crime drama']
Ghost Ship,"['Gabriel Byrne', ' Julianna Margulies', ' Desmond Harrington', ' Isaiah Washington', ' Karl Urban', ' Emily Browning']",['Horror']
The Good Girl,"['Jennifer Aniston', ' Jake Gyllenhaal', ' John C. Reilly']",['Romance']
Groom Lake,"['William Shatner', ' Dan Gauthier', ' Amy Acker']",['Horror']
The Guru,"['Jimi Mistry', ' Heather Graham', ' Marisa Tomei']",['Musical comedy']
The Guys,"['Sigourney Weaver', ' Anthony LaPaglia', ' Jim Simpson']",['Drama']
 Half Past Dead,"['Steven Seagal', ' Morris Chestnut', ' Ja Rule']",['Action']
Halloween: Resurrection,"['Busta Rhymes', ' Bianca Kajlich', ' Thomas Ian Nicholas', ' Tyra Banks', ' Sean Patrick Thomas']",['Horror']
