Year,Actor,Role,Movie,Link, Winner,Ethnicity
1934,Clark Gable,Peter Warne,It Happened One Night,https://en.wikipedia.org//wiki/It_Happened_One_Night,True,"['German', 'Irish', 'SwissGerman', 'Belgian']"
1934,Frank Morga,"Alessandro, Duke of Florence",The Affairs of Cellini,https://en.wikipedia.org//wiki/The_Affairs_of_Cellini,False,[]
1934,William Powel,Nick Charles,The Thin Man,https://en.wikipedia.org//wiki/The_Thin_Man_(film),False,[]
1935,Victor McLaglen,Gypo Nolan,The Informer,https://en.wikipedia.org//wiki/The_Informer_(1935_film),True,"['Afrikaner', 'Dutch', 'German', 'Irish', 'Scottish', 'English']"
1935,Clark Gabl,Lieutenant Fletcher Christian,Mutiny on the Bounty,https://en.wikipedia.org//wiki/Mutiny_on_the_Bounty_(1935_film),False,"['German', 'Irish', 'SwissGerman', 'Belgian']"
1935,Charles Laughto,Captain William Bligh,,https://en.wikipedia.org//wiki/Charles_Laughton,False,['Irish']
1935,Paul Muni ,Joe Radek,Black Fury,https://en.wikipedia.org//wiki/Black_Fury_(film),False,"['Ashkenazi', 'Jewish']"
1935,Franchot Ton,Midshipman Roger Byam,Mutiny on the Bounty,https://en.wikipedia.org//wiki/Mutiny_on_the_Bounty_(1935_film),False,[]
1936,Paul Muni,Louis Pasteur,The Story of Louis Pasteur,https://en.wikipedia.org//wiki/The_Story_of_Louis_Pasteur,True,"['Ashkenazi', 'Jewish']"
1936,Gary Coope,Longfellow Deeds,Mr. Deeds Goes to Town,https://en.wikipedia.org//wiki/Mr._Deeds_Goes_to_Town,False,['English']
1936,Walter Husto,Sam Dodsworth,Dodsworth,https://en.wikipedia.org//wiki/Dodsworth_(film),False,"['ScotsIrishNorthern', 'Irish', 'Scottish']"
1936,William Powel,Godfrey Park,My Man Godfrey,https://en.wikipedia.org//wiki/My_Man_Godfrey,False,[]
1936,Spencer Trac,Father Tim Mullin,San Francisco,https://en.wikipedia.org//wiki/San_Francisco_(1936_film),False,['English']
1937,Spencer Tracy,Manuel Fidello,Captains Courageous,https://en.wikipedia.org//wiki/Captains_Courageous_(1937_film),True,['English']
1937,Charles Boye,Emperor Napoleon Bonaparte,Conquest,https://en.wikipedia.org//wiki/Conquest_(1937_film),False,['French']
1937,Fredric Marc,Norman Maine,A Star Is Born,https://en.wikipedia.org//wiki/A_Star_Is_Born_(1937_film),False,"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
1937,Robert Montgomer,Danny,Night Must Fall,https://en.wikipedia.org//wiki/Night_Must_Fall_(1937_film),False,[]
1937,Paul Mun,Émile Zola,The Life of Emile Zola,https://en.wikipedia.org//wiki/The_Life_of_Emile_Zola,False,"['Ashkenazi', 'Jewish']"
1938,Spencer Tracy,Father Flanagan,Boys Town,https://en.wikipedia.org//wiki/Boys_Town_(film),True,['English']
1938,Charles Boye,Pepe le Moko,Algiers,https://en.wikipedia.org//wiki/Algiers_(film),False,['French']
1938,James Cagne,Rocky Sullivan,Angels with Dirty Faces,https://en.wikipedia.org//wiki/Angels_with_Dirty_Faces,False,"['Irish25', 'Norwegian']"
1938,Robert Dona,Dr. Andrew Manson,The Citadel,https://en.wikipedia.org//wiki/The_Citadel_(1938_film),False,"['Polish', 'English', 'French', 'German']"
1938,Leslie Howar,Professor Henry Higgins,Pygmalion,https://en.wikipedia.org//wiki/Pygmalion_(1938_film),False,"['Ashkenazi', 'Jewish375', 'English']"
1939,Robert Donat,Charles Edward Chipping,"Goodbye, Mr. Chips","https://en.wikipedia.org//wiki/Goodbye,_Mr._Chips_(1939_film)",True,"['Polish', 'English', 'French', 'German']"
1939,Clark Gabl,Rhett Butler,Gone with the Wind,https://en.wikipedia.org//wiki/Gone_with_the_Wind_(film),False,"['German', 'Irish', 'SwissGerman', 'Belgian']"
1939,Laurence Olivie,Heathcliff,Wuthering Heights,https://en.wikipedia.org//wiki/Wuthering_Heights_(1939_film),False,"['English', 'French', 'Huguenot']"
1939,Mickey Roone,Mickey Moran,Babes in Arms,https://en.wikipedia.org//wiki/Babes_in_Arms_(film),False,"['Scottish', 'English']"
1939,James Stewar,Jefferson Smith,Mr. Smith Goes to Washington,https://en.wikipedia.org//wiki/Mr._Smith_Goes_to_Washington,False,[]
1940,James Stewart,"Macaulay ""Mike"" Connor",The Philadelphia Story,https://en.wikipedia.org//wiki/The_Philadelphia_Story_(film),True,"['ScotsIrishNorthern', 'Irish', 'Scottish', 'Irish', 'English']"
1940,Charlie Chapli,Adenoid Hynkel / The Barber,The Great Dictator,https://en.wikipedia.org//wiki/The_Great_Dictator,False,"['English', 'Irish']"
1940,Henry Fond,Tom Joad,The Grapes of Wrath,https://en.wikipedia.org//wiki/The_Grapes_of_Wrath_(film),False,"['Dutch', 'English', 'Scottish', 'Norwegian', 'German', 'Italian']"
1940,Raymond Masse,Abraham Lincoln,Abe Lincoln in Illinois,https://en.wikipedia.org//wiki/Abe_Lincoln_in_Illinois_(film),False,[]
1940,Laurence Olivie,"Maximilian ""Maxim"" de Winter",Rebecca,https://en.wikipedia.org//wiki/Rebecca_(1940_film),False,"['English', 'French', 'Huguenot']"
1941,Gary Cooper,Sgt. Alvin York,Sergeant York,https://en.wikipedia.org//wiki/Sergeant_York_(film),True,['English']
1941,Cary Gran,Roger Adams,Penny Serenade,https://en.wikipedia.org//wiki/Penny_Serenade,False,"['English', 'Welsh', 'Scottish']"
1941,Walter Husto,Mr. Scratch,The Devil and Daniel Webster,https://en.wikipedia.org//wiki/The_Devil_and_Daniel_Webster_(film),False,"['ScotsIrishNorthern', 'Irish', 'Scottish']"
1941,Robert Montgomer,Joe Pendleton,Here Comes Mr. Jordan,https://en.wikipedia.org//wiki/Here_Comes_Mr._Jordan,False,[]
1941,Orson Welle,Charles Foster Kane,Citizen Kane,https://en.wikipedia.org//wiki/Citizen_Kane,False,"['English', 'Scottish', 'Welsh']"
1942,James Cagney,George M. Cohan,Yankee Doodle Dandy,https://en.wikipedia.org//wiki/Yankee_Doodle_Dandy,True,"['Irish25', 'Norwegian']"
1942,Ronald Colma,Charles Rainier,Random Harvest,https://en.wikipedia.org//wiki/Random_Harvest_(film),False,"['English', 'Scottish']"
1942,Gary Coope,Lou Gehrig,The Pride of the Yankees,https://en.wikipedia.org//wiki/The_Pride_of_the_Yankees,False,['English']
1942,Walter Pidgeo,Clem Miniver,Mrs. Miniver,https://en.wikipedia.org//wiki/Mrs._Miniver,False,[]
1942,Monty Woolle,Howard,The Pied Piper,https://en.wikipedia.org//wiki/The_Pied_Piper_(1942_film),False,[]
1943,Paul Lukas,Kurt Muller,Watch on the Rhine,https://en.wikipedia.org//wiki/Watch_on_the_Rhine,True,"['Ashkenazi', 'Jewish']"
1943,Humphrey Bogar,Rick Blaine,Casablanca,https://en.wikipedia.org//wiki/Casablanca_(film),False,"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
1943,Gary Coope,Robert Jordan,For Whom the Bell Tolls,https://en.wikipedia.org//wiki/For_Whom_the_Bell_Tolls_(film),False,['English']
1943,Walter Pidgeo,Pierre Curie,Madame Curie,https://en.wikipedia.org//wiki/Madame_Curie_(film),False,[]
1943,Mickey Roone,Homer Macauley,The Human Comedy,https://en.wikipedia.org//wiki/The_Human_Comedy_(film),False,"['Scottish', 'English']"
1944,Bing Crosby,Father Chuck O'Malley,Going My Way,https://en.wikipedia.org//wiki/Going_My_Way,True,"['English', 'Irish']"
1944,Charles Boye,Gregory Anton,Gaslight,https://en.wikipedia.org//wiki/Gaslight_(1944_film),False,['French']
1944,Barry Fitzgeral,Father Fitzgibbon,Going My Way,https://en.wikipedia.org//wiki/Going_My_Way,False,['German']
1944,Cary Gran,Ernie Mott,None but the Lonely Heart,https://en.wikipedia.org//wiki/None_but_the_Lonely_Heart_(film),False,"['English', 'Welsh', 'Scottish']"
1944,Alexander Kno,Woodrow Wilson,Wilson,https://en.wikipedia.org//wiki/Woodrow_Wilson,False,[]
1945,Ray Milland,Don Birnam,The Lost Weekend,https://en.wikipedia.org//wiki/The_Lost_Weekend_(film),True,['Welsh']
1945,Bing Crosb,Father Chuck O'Malley,The Bells of St. Mary's,https://en.wikipedia.org//wiki/The_Bells_of_St._Mary%27s,False,"['English', 'Irish']"
1945,Gene Kell,Joseph Brady,Anchors Aweigh,https://en.wikipedia.org//wiki/Anchors_Aweigh_(film),False,"['Irish25', 'German']"
1945,Gregory Pec,Father Francis,The Keys of the Kingdom,https://en.wikipedia.org//wiki/The_Keys_of_the_Kingdom_(film),False,"['Irish', 'English', 'German', 'Welsh']"
1945,Cornel Wild,Frédéric Chopin,A Song to Remember,https://en.wikipedia.org//wiki/A_Song_to_Remember,False,"['Ashkenazi', 'Jewish']"
1946,Fredric March,Platoon Sergeant Al Stephenson,The Best Years of Our Lives,https://en.wikipedia.org//wiki/The_Best_Years_of_Our_Lives,True,"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
1946,Laurence Olivie,King Henry V of England,Henry V,https://en.wikipedia.org//wiki/Henry_V_of_England,False,"['English', 'French', 'Huguenot']"
1946,Larry Park,Al Jolson,The Jolson Story,https://en.wikipedia.org//wiki/The_Jolson_Story,False,[]
1946,Gregory Pec,"Ezra ""Penny"" Baxter",The Yearling,https://en.wikipedia.org//wiki/The_Yearling_(1946_film),False,"['Irish', 'English', 'German', 'Welsh']"
