year,actor,movie,winner,ethnicity
1943,Paul Lukas,Watch on the Rhine,True,"['Ashkenazi', 'Jewish']"
1944,Alexander Knox,Wilson,True,[]
1945,Ray Milland,The Lost Weekend,True,['Welsh']
1946,Gregory Peck,The Yearling,True,"['Irish', 'English', 'German', 'Welsh']"
1947,Ronald Colman,A Double Life,True,"['English', 'Scottish']"
1948,Laurence Olivier,Hamlet,True,"['English', 'French', 'Huguenot']"
1949,Broderick Crawford,All the King's Men,True,['German']
1949,Richard Todd,The Hasty Heart,False,[]
1950,José Ferrer,Cyrano de Bergerac,True,[]
1950,Louis Calhern,The Magnificent Yankee,False,[]
1950,James Stewart,Harvey,False,"['ScotsIrishNorthern', 'Irish', 'Scottish', 'Irish', 'English']"
1951,Fredric March,Death of a Salesman,True,"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
1951,Kirk Douglas,Detective Story,False,"['Ashkenazi', 'Jewish']"
1951,Arthur Kennedy,Bright Victory,False,[]
1952,Gary Cooper,High Noon,True,['English']
1952,Ray Milland,The Thief,False,['Welsh']
1952,Charles Boyer,The Happy Time,False,['French']
1953,Spencer Tracy,The Actress,True,['English']
1954,Marlon Brando,On the Waterfront,True,"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
1955,Ernest Borgnine,Marty,True,['Italian']
1956,Kirk Douglas,Lust for Life,True,"['Ashkenazi', 'Jewish']"
1956,Karl Malden,Baby Doll,False,['Czech']
1956,Gary Cooper,Friendly Persuasion,False,['English']
1956,Burt Lancaster,The Rainmaker,False,"['Northern', 'Irish', 'ScotsIrish']"
1956,Charlton Heston,The Ten Commandments,False,"['English', 'Scottish', 'Cornish', 'German']"
1957,Alec Guinness,The Bridge on the River Kwai,True,[]
1957,Marlon Brando,Sayonara,False,"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
1958,David Niven,Separate Tables,True,"['English', 'Scottish', 'French']"
1958,Tony Curtis,The Defiant Ones,False,"['Ashkenazi', 'Jewish']"
1958,Robert Donat,The Inn of the Sixth Happiness,False,"['Polish', 'English', 'French', 'German']"
1958,Sidney Poitier,The Defiant Ones,False,['AfricanBahamian']
1958,Spencer Tracy,The Old Man and the Sea,False,['English']
1959,Anthony Franciosa,Career,True,[]
1959,Richard Burton,Look Back in Anger,False,['Welsh']
1959,Charlton Heston,Ben-Hur,False,"['English', 'Scottish', 'Cornish', 'German']"
1959,Fredric March,Middle of the Night,False,"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
1959,Joseph Schildkraut,The Diary of Anne Frank,False,"['Ashkenazi', 'Jewish']"
1960,Burt Lancaster,Elmer Gantry,True,"['Northern', 'Irish', 'ScotsIrish']"
