,Name,URL,Phone,Latitude,Longitude,Address,City,State,ZIP,Vertical,Rating,Review Count,Yelp ID,Review1,Review2,Review3,Vertical1,Vertical2,Vertical3,Reviews,polarity,subjectivity,Word1,Word2,Word3,Word4,Word5
0,Cucina Basilico,https://www.yelp.com/biz/cucina-basilico-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+18588746436,32.81065,-117.116113,3755 Murphy Canyon Rd,San Diego,CA,92123,Italian,4.5,574,AlO78to1upUkVhRx12XtVA,"During this ""stay at home"" order, we've been ordering takeout (multiple times a week) from our favorite local Italian restaurant, Cucina Basilico. We love...",My friends and I decided to go in for dinner last week and we really enjoyed it. The service was great and the pasta was out of this world. Coming from...,"AMAZING Homemade Italian Food!

I come here once a week and grab the usual Malbec, Insalata di Barbabietola and to finish off I always grab the Gnocchi with...",Italian,None,None,during this stay at home order weve been ordering takeout multiple times a week from our favorite local italian restaurant cucina basilico we love my friends and i decided to go in for dinner last week and we really enjoyed it the service was great and the pasta was out of this world coming from amazing homemade italian foodi come here once a week and grab the usual malbec insalata di barbabietola and to finish off i always grab the gnocchi with,0.2409090909090909,0.3878787878787879,week,grab,italian,restaurant,decided
1,Buon Appetito,https://www.yelp.com/biz/buon-appetito-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192389880,32.7223555790264,-117.16811147157,1609 India St,San Diego,CA,92101,Italian,4.0,2291,7PGyWA51sSdw8M4fBXa9Gw,"Due to the whole pandemic, we decided to try a new local restaurant for a pick-up order. This place looked promising and it did not disappoint! The ordering...","Delicious pasta and amazing service. Highly recommend the Borsetti dinner specials.

Visit Sogno Di Vino next door and get the same top notch food with less...",Buon Appetito is a cozy little place in Little Italy. At least it felt very cozy to me since I came on a rainy evening to meet up with a friend. The...,Italian,None,None,due to the whole pandemic we decided to try a new local restaurant for a pickup order this place looked promising and it did not disappoint the ordering delicious pasta and amazing service highly recommend the borsetti dinner specialsvisit sogno di vino next door and get the same top notch food with less buon appetito is a cozy little place in little italy at least it felt very cozy to me since i came on a rainy evening to meet up with a friend the,0.08057040998217471,0.469777183600713,cozy,place,little,appetito,di
2,Buona Forchetta,https://www.yelp.com/biz/buona-forchetta-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16193814844,32.7213018,-117.1302022,3001 Beech St,San Diego,CA,92102,"Pizza, Italian",4.5,2420,n3sKOKoEk_gKhBvgfIwZaA,"LOCKDOWN HOURS:
Mon-Thurs 12-3pm, 4-8:30pm
Sat closes at 9pm
Sun closes at 8pm

This is the best pizza in town (or at least top three, including Friendly's...","Covid pandemic take out option with buono was pretty neat !

Ordering system was quick over the phone-they two numbers (check out photo for the second...","Enjoyed a lovely pandemic take-out meal on a Friday evening! Purchased the family meal, which was $39 for two pizzas, pasta and soup. It was such a treat....",Pizza,Italian,None,lockdown hoursmonthurs  sat closes at sun closes at this is the best pizza in town or at least top three including friendlys covid pandemic take out option with buono was pretty neat ordering system was quick over the phonethey two numbers check out photo for the second enjoyed a lovely pandemic takeout meal on a friday evening purchased the family meal which was  for two pizzas pasta and soup it was such a treat,0.30925925925925923,0.5166666666666667,close,pizza,meal,pandemic,option
3,Pesto Italian Craft Kitchen,https://www.yelp.com/biz/pesto-italian-craft-kitchen-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192652700,32.7606173728598,-117.068064408187,6011 El Cajon Blvd,San Diego,CA,92115,"Pizza, Italian",4.5,1218,4GT1sQ_pcKk4gBMrJddexw,"Omg... the meatball covid special is worth it!

Too many meatballs (amazing)
Pasta to cook yourself
Garlic knots
Two rolls of tp
Hand sanitizer
And more!","The best Italian food, pizza in College area. I don't live in College area but we still drive over there, and we also order delivery from there. Recently...",Huge shout out to the team at Pesto Italian Craft Kitchen for serving the community during the pandemic with delivery of great food in generous quantities...,Pizza,Italian,None,omg the meatball covid special is worth ittoo many meatballs amazingpasta to cook yourselfgarlic knotstwo rolls of tphand sanitizerand more the best italian food pizza in college area i dont live in college area but we still drive over there and we also order delivery from there recently huge shout out to the team at pesto italian craft kitchen for serving the community during the pandemic with delivery of great food in generous quantities,0.39935064935064934,0.4121428571428572,delivery,food,italian,area,meatball
4,Filippi's Pizza Grotto Little Italy,https://www.yelp.com/biz/filippis-pizza-grotto-little-italy-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192325094,32.72375,-117.16813,1747 India St,San Diego,CA,92101,"Italian, Pizza, Bars",4.0,2822,PzGU5brzhsVqumdU4qE5Rw,"Been here so many times, time for a local review.  Normally we go and split a meatball sub, add mozzarella, extra side of marinara.   This is lights out....","I'm not a pizza person but when my husband asks me if I want to have a pizza from Filippi's, I always say yes with big smile! We haven't dined in yet, but...","Came here to shop during the pandemic in the market for pasta, Italian Sausage, and a quart of marinara sauce. Today is Saturday, and I was the only shopper...",Italian,Pizza,Bars,been here so many times time for a local review  normally we go and split a meatball sub add mozzarella extra side of marinara   this is lights out im not a pizza person but when my husband asks me if i want to have a pizza from filippis i always say yes with big smile we havent dined in yet but came here to shop during the pandemic in the market for pasta italian sausage and a quart of marinara sauce today is saturday and i was the only shopper,0.11875,0.30625,pizza,marinara,time,person,light
5,CUCINA urbana,https://www.yelp.com/biz/cucina-urbana-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192392222,32.7312993826963,-117.160155773163,505 Laurel St,San Diego,CA,92101,"Italian, Pizza, Wine Bars",4.5,3967,aY_z6z6at7wyoW7sFhf4bA,Stopped in to pick up lunch for myself and a friend. Food was very good and reasonably priced. Ordered Chicken curry salad's. They were fresh and well...,"Amazing place. The staff was extremely nice.  My boyfriend just graduated with his masters degree. 
They made him and that night extremely special. 

The...",We came here for my birthday dinner. We made a reservation and come to find out the place is practically empty. Based of the reviews it seemed it would be...,Italian,Pizza,Wine Bars,stopped in to pick up lunch for myself and a friend food was very good and reasonably priced ordered chicken curry salads they were fresh and well amazing place the staff was extremely nice  my boyfriend just graduated with his masters degree they made him and that night extremely special the we came here for my birthday dinner we made a reservation and come to find out the place is practically empty based of the reviews it seemed it would be,0.2833928571428571,0.7251785714285715,extremely,place,amazing,curry,practically
6,Bencotto Italian Kitchen,https://www.yelp.com/biz/bencotto-italian-kitchen-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16194504786,32.7244489444466,-117.168974876404,750 W Fir St,San Diego,CA,92101,"Italian, Bars, Desserts",4.0,2505,9z2faUubEPjEEpV1zyxH6g,"I have been coming to Bencotto for at least 5 years now. Last night, I organized a dinner for ten for my scientist and coworkers here for biophysical...",Came here after a trip to the zoo with my friends! I got their pappardelle with a creamy white sauce and sausage! I can't remember the name of the dish but...,"Bencotto, an institution located in the heart of Little Italy next to Underbelly. I've heard so many things about this restaurant from friends and walked...",Italian,Bars,Desserts,i have been coming to bencotto for at least  years now last night i organized a dinner for ten for my scientist and coworkers here for biophysical came here after a trip to the zoo with my friends i got their pappardelle with a creamy white sauce and sausage i cant remember the name of the dish but bencotto an institution located in the heart of little italy next to underbelly ive heard so many things about this restaurant from friends and walked,0.0017857142857142874,0.20952380952380953,friend,bencotto,zoo,ive,came
7,The Godfather Restaurant,https://www.yelp.com/biz/the-godfather-restaurant-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+18585601747,32.83326,-117.15168,7878 Clairemont Mesa Blvd,San Diego,CA,92111,"Italian, Venues & Event Spaces, Wine Bars",4.0,813,djfc2SAzd4xjn5HmUp8wow,We love going to The Godfather for special occasions and were really glad to find out they were doing takeout meals during the statewide stay-at-home order....,Amazing! The Godfather does not let us down. So wonderful to reach out for take out that is decadent and delish. So wonderful for so many reasons.,I love The Godfather Restaurant anytime! Amazing food and service. We wanted to keep supporting one of our favorite restaurants and used the take out option...,Italian,Venues & Event Spaces,Wine Bars,we love going to the godfather for special occasions and were really glad to find out they were doing takeout meals during the statewide stayathome order amazing the godfather does not let us down so wonderful to reach out for take out that is decadent and delish so wonderful for so many reasons i love the godfather restaurant anytime amazing food and service we wanted to keep supporting one of our favorite restaurants and used the take out option,0.5126322751322752,0.7175264550264551,godfather,amazing,wonderful,love,restaurant
8,Ristorante Illando,https://www.yelp.com/biz/ristorante-illando-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16196935204,32.724048614502,-117.168190002441,1825 India Street,San Diego,CA,92101,Italian,4.5,974,W0dzJ7E6R3kyAOXIlO_tbw,"Ordered takeaway for Easter meal during time of COVID quarantine.  Had the classic Bolognese, charcuterie, caesar and cheesecake dessert. Takeaway...","Wait staff 5. Very attentive. Very helpful 
Seating 2. Made reservations prior. No where did it mention we may put you on the back patio with a strong wind...","= L O C A T I O N =
Like other reviewers have said, it's easy to miss this tiny restaurant. It's nestled in the second floor of a building that has a...",Italian,None,None,ordered takeaway for easter meal during time of covid quarantine  had the classic bolognese charcuterie caesar and cheesecake dessert takeaway wait staff  very attentive very helpful seating  made reservations prior no where did it mention we may put you on the back patio with a strong wind  l o c a t i o n like other reviewers have said its easy to miss this tiny restaurant its nestled in the second floor of a building that has a,0.16283333333333333,0.39083333333333337,takeaway,o,reservation,second,helpful
9,Pomodoro Ristorante Italiano,https://www.yelp.com/biz/pomodoro-ristorante-italiano-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16195231301,32.721122,-117.230367,2833 Avenida De Portugal,San Diego,CA,92106,Italian,4.5,923,Bne55NwL25KO_ntMgflb_A,"This place is always soooo good. Amazing service. 

It's always so hard to figure out what dish to have since everything is so good. I always try to do a...","Sadly, I can't give this a better review. When you first walk in, you can see the specials written on the board. One of them caught my eye and I definitely...",Too two of my favorite places to eat in Point Loma! They also own Pummaro's which is my #1! The food is always good and the ambiance is quaint and...,Italian,None,None,this place is always soooo good amazing service its always so hard to figure out what dish to have since everything is so good i always try to do a sadly i cant give this a better review when you first walk in you can see the specials written on the board one of them caught my eye and i definitely too two of my favorite places to eat in point loma they also own pummaros which is my  the food is always good and the ambiance is quaint and,0.3416666666666666,0.6886363636363636,good,place,eye,written,favorite
